id	side_effect
cidofovir	Cytomegalovirus Retinitis
cidofovir	Cytomegalovirus Infections
cidofovir	Gastroenteritis
cidofovir	Pneumonia
cidofovir	Retinitis
cidofovir	Illness (finding)
cilazapril	Cerebrovascular Disorders
cilazapril	Heart failure
cilazapril	Congestive heart failure
cilazapril	Hypertensive disease
cilazapril	Kidney Failure
cilazapril	Essential Hypertension
cilazapril	Liver Dysfunction
cilazapril	Myocardial Ischemia
cilazapril	Hypertensive (finding)
cilazapril	"Hypertension, Renovascular"
cilazapril	Kidney Diseases
cilazapril	Renal Artery Stenosis
cimetidine	Scleroderma
cimetidine	Duodenal Ulcer
cimetidine	Gastrinoma
cimetidine	Gastroesophageal reflux disease
cimetidine	Heartburn
cimetidine	Gastric ulcer
cimetidine	Zollinger-Ellison syndrome
cimetidine	Adenoma
cimetidine	anaphylaxis
cimetidine	Dyspepsia
cimetidine	Hemorrhage
cimetidine	Pain
cimetidine	Peptic Ulcer
cimetidine	Ulcer
cimetidine	Hyperchlorhydria
cimetidine	"Mastocytosis, Systemic"
cimetidine	Nonulcer dyspepsia
cimetidine	Stress ulcer
cimetidine	Arthritis
cimetidine	Upper gastrointestinal hemorrhage
cimetidine	Erosive esophagitis
cimetidine	Acid indigestion
cimetidine	Sour stomach
cinacalcet	Carcinoma
cinacalcet	Hypercalcemia
cinacalcet	"Hyperparathyroidism, Secondary"
cinacalcet	"Kidney Failure, Chronic"
cinacalcet	Chronic Kidney Diseases
cinacalcet	"Hyperparathyroidism, Primary"
ciprofloxacin	Uterine Cervicitis
ciprofloxacin	Communicable Diseases
ciprofloxacin	Gastroenteritis
ciprofloxacin	Gonorrhea
ciprofloxacin	Paratyphoid Fever
ciprofloxacin	Typhoid Fever
ciprofloxacin	Urethritis
ciprofloxacin	Urinary tract infection
ciprofloxacin	Streptococcal pneumonia
ciprofloxacin	Inhalational anthrax
ciprofloxacin	Coinfection
ciprofloxacin	Infectious disorder of bronchus
ciprofloxacin	Bacterial prostatitis
ciprofloxacin	Bone and joint infections
ciprofloxacin	Septicemia
ciprofloxacin	Lower respiratory tract infection
ciprofloxacin	Pyelonephritis
ciprofloxacin	Seizures
ciprofloxacin	Acute cystitis
ciprofloxacin	Function kidney decreased
ciprofloxacin	Renal clearances low
ciprofloxacin	Drug Interactions
ciprofloxacin	Hepatic impairment
ciprofloxacin	Hepatic Insufficiency
ciprofloxacin	Renal Insufficiency
ciprofloxacin	Cross resistance
ciprofloxacin	Cystitis
ciprofloxacin	Dysentery
ciprofloxacin	Fasting
ciprofloxacin	Osteomyelitis
ciprofloxacin	Pseudomonas Infections
ciprofloxacin	Pyelitis
ciprofloxacin	Respiratory Tract Infections
ciprofloxacin	Acute sinusitis
ciprofloxacin	Soft Tissue Infections
ciprofloxacin	Overgrowth bacterial
ciprofloxacin	Acute pneumonia
ciprofloxacin	Acute exacerbation of chronic bronchitis
ciprofloxacin	Fever
ciprofloxacin	Intraabdominal Infections
ciprofloxacin	Conjunctivitis
ciprofloxacin	Corneal Ulcer
ciprofloxacin	Congenital glucose-galactose malabsorption
ciprofloxacin	"Bronchitis, Chronic"
ciprofloxacin	Pneumonia
ciprofloxacin	Back Pain
ciprofloxacin	Bacteremia
ciprofloxacin	Arthropathy
ciprofloxacin	Nosocomial pneumonia
ciprofloxacin	Anthrax disease
ciprofloxacin	Bacterial conjunctivitis
ciprofloxacin	Blepharitis
ciprofloxacin	Adnexitis
ciprofloxacin	Cystic Fibrosis
ciprofloxacin	Peritonitis
ciprofloxacin	prostatitis
ciprofloxacin	Sepsis
ciprofloxacin	Gastrointestinal infection
ciprofloxacin	Tuberculosis
ciprofloxacin	Influenza
cisatracurium	Muscle relaxation phase
cisplatin	Carcinoma
cisplatin	Squamous cell carcinoma
cisplatin	Ovarian Carcinoma
cisplatin	Carcinoma of bladder
cisplatin	Malignant neoplasm of urinary bladder
cisplatin	Malignant neoplasm of breast
cisplatin	Malignant Neoplasms
cisplatin	Choriocarcinoma
cisplatin	Hodgkin Disease
cisplatin	Lymphoma
cisplatin	melanoma
cisplatin	Mesothelioma
cisplatin	Neoplasms
cisplatin	Osteosarcoma
cisplatin	Malignant neoplasm of penis
cisplatin	Malignant neoplasm of brain
cisplatin	Anal carcinoma
cisplatin	Cervix carcinoma
cisplatin	Malignant neoplasm of liver
cisplatin	Malignant neoplasm of prostate
cisplatin	Endometrial Carcinoma
cisplatin	Malignant neoplasm of esophagus
cisplatin	Carcinoma of lung
cisplatin	Malignant neoplasm of kidney
cisplatin	Gestational Trophoblastic Neoplasms
cisplatin	Malignant neoplasm of ovary
cisplatin	Sarcoma
cisplatin	Adrenal carcinoma
cisplatin	Neutropenia
cisplatin	Testicular Neoplasms
cisplatin	Transitional cell carcinoma of bladder
cisplatin	ovarian neoplasm
cisplatin	Hypocalcemia
cisplatin	Hypomagnesaemia
cisplatin	Renal Insufficiency
citalopram	Heart Diseases
citalopram	Major Depressive Disorder
citalopram	Depressive disorder
citalopram	Fasting
citalopram	Mental Depression
citalopram	Melancholia
citalopram	Function liver decreased
citalopram	Function kidney decreased
citalopram	Renal Insufficiency
citalopram	Anxiety
citalopram	Obsessive-Compulsive Disorder
citalopram	Distress
citalopram	Obsessions
citalopram	Generalized Anxiety Disorder
citalopram	Obsessive compulsive behavior
citalopram	Compulsive Personality Disorder
citalopram	Aggressive behavior
citalopram	Alzheimers Disease
citalopram	Alzheimers Disease
citalopram	Amnesia
citalopram	Cerebral Embolism
citalopram	Cerebral Infarction
citalopram	Cerebrovascular Disorders
citalopram	Cognition Disorders
citalopram	Multi-infarct dementia
citalopram	Depersonalization
citalopram	Hostility
citalopram	Ischemia
citalopram	Subarachnoid Hemorrhage
citalopram	Cerebral Thrombosis
citalopram	Agitation
citalopram	Mood swings
citalopram	Akathisia
citalopram	Feeling suicidal (finding)
citalopram	Social disinhibition
citalopram	Dementia
citalopram	Cerebral Arteriosclerosis
citalopram	Suicidal behaviour
citalopram	Cerebral Hemorrhage
citalopram	Fatigue
citalopram	Guilt
citalopram	"Major depressive disorder, single episode"
citalopram	Suicide attempt
citalopram	Dysphoria
citalopram	Thought retardation
citalopram	Unable to concentrate
citalopram	Depressed mood
citalopram	Decreased interest
citalopram	Hypersomnia
citalopram	Sleeplessness
citalopram	Irritable Mood
citalopram	Sleep disturbances
citalopram	Tension
citalopram	"Hypotension, Orthostatic"
citalopram	Xerostomia
citalopram	Blurred vision
citalopram	Wave slowing
citalopram	Cardiotoxicity
citalopram	"Phobia, Social"
citalopram	Drug abuse
citalopram	Anxiety Disorders
clarithromycin	Acquired Immunodeficiency Syndrome
clarithromycin	"Bronchitis, Chronic"
clarithromycin	Communicable Diseases
clarithromycin	Impetigo
clarithromycin	Mycobacterium Infections
clarithromycin	Peptic Ulcer
clarithromycin	Rheumatic Fever
clarithromycin	Pharyngitis streptococcal
clarithromycin	Tonsillitis
clarithromycin	Immunocompromised Host
clarithromycin	Acute bronchitis
clarithromycin	Community acquired pneumonia
clarithromycin	Blood culture negative
clarithromycin	Disseminated mycobacterium avium complex infection
clarithromycin	Bacterial infection due to helicobacter pylori (H. pylori)
clarithromycin	Cellulitis
clarithromycin	Duodenal Ulcer
clarithromycin	Otitis Media
clarithromycin	Pharyngitis
clarithromycin	Pneumonia
clarithromycin	"Skin Diseases, Infectious"
clarithromycin	Acute maxillary sinusitis
clarithromycin	Otitis media acute
clarithromycin	Renal Insufficiency
clarithromycin	Abscess
clarithromycin	Streptococcal Infections
clarithromycin	Mycoplasma pneumonia
clarithromycin	Ulcer
clarithromycin	Acute exacerbation of chronic bronchitis
clemastine	Angioedema
clemastine	Pruritus
clemastine	Sneezing
clemastine	Urticaria
clemastine	Lacrimation
clemastine	Rhinorrhea
clemastine	Allergic rhinitis (disorder)
clindamycin	Communicable Diseases
clindamycin	Myocarditis
clindamycin	Acne Vulgaris
clindamycin	Comedone
clindamycin	Acne
clindamycin	Abscess
clindamycin	Acquired Immunodeficiency Syndrome
clindamycin	Cellulitis
clindamycin	Empyema
clindamycin	Endometritis
clindamycin	Gonorrhea
clindamycin	Lung Abscess
clindamycin	Osteomyelitis
clindamycin	Parametritis
clindamycin	Peritonitis
clindamycin	Pneumonia
clindamycin	Respiratory Tract Infections
clindamycin	Salpingitis
clindamycin	Septicemia
clindamycin	Tubo-ovarian abscess
clindamycin	Wound Infection
clindamycin	Pelvic Inflammatory Disease
clindamycin	Abdominal Abscess
clindamycin	Bone and joint infections
clindamycin	Intraabdominal Infections
clindamycin	Gynecological infection
clindamycin	Pneumocystis jiroveci pneumonia
clindamycin	"Arthritis, Bacterial"
clindamycin	Bronchitis
clindamycin	Uterine Cervicitis
clindamycin	Endocarditis
clindamycin	Erysipelas
clindamycin	Impetigo
clindamycin	Otitis Media
clindamycin	Paronychia Inflammation
clindamycin	Pelvic Infection
clindamycin	Periodontal Abscess
clindamycin	Periodontitis
clindamycin	Pharyngitis
clindamycin	Scarlet Fever
clindamycin	Sinusitis
clindamycin	Tonsillitis
clindamycin	Upper Respiratory Infections
clindamycin	Soft Tissue Infections
clindamycin	furuncle
clindamycin	Plasmodium falciparum infection
clindamycin	Tooth infection
clindamycin	panaritium
clindamycin	Diarrhea
clindamycin	Diarrhoea haemorrhagic
clindamycin	pseudomembranous colitis
clindamycin	Herpes Simplex Infections
clindamycin	Vaginitis
clindamycin	Vulvovaginitis
clindamycin	Bacterial Vaginosis
clindamycin	Vaginal Discharge
clindamycin	Gardnerella vaginitis
clindamycin	Lower respiratory tract infection
clindamycin	Sensitisation
clobazam	Anxiety
clobazam	Epilepsy
clobazam	Sleep disturbances
clobazam	Brain Injuries
clobazam	Seizures
clobazam	Lennox-Gastaut syndrome
clofarabine	Acute lymphocytic leukemia
clofarabine	"Leukemia, Myelocytic, Acute"
clomipramine	Cataplexy
clomipramine	Narcolepsy
clomipramine	Obsessive-Compulsive Disorder
clomipramine	Parkinson Disease
clomipramine	Phobic anxiety disorder
clomipramine	Major Depressive Disorder
clomipramine	Personality Disorders
clomipramine	Schizophrenia
clomipramine	Panic Attacks
clomipramine	Senility
clomipramine	Mood Disorders
clomipramine	Distress
clomipramine	Obsessions
clomipramine	Obsessive compulsive behavior
clonazepam	Epilepsy
clonazepam	"Epilepsies, Partial"
clonazepam	"Epilepsies, Myoclonic"
clonazepam	Absence Epilepsy
clonazepam	"Epilepsy, Temporal Lobe"
clonazepam	Seizures
clonazepam	Tonic - clonic seizures
clonazepam	Status Epilepticus
clonazepam	Lennox-Gastaut syndrome
clonazepam	"Epilepsy, Akinetic"
clonazepam	Tolerance development
clonazepam	Convulsive Seizures
clonazepam	Nodding spasm
clonazepam	"Seizures, Focal"
clonazepam	Agoraphobia
clonazepam	Chest Pain
clonazepam	Depersonalization
clonazepam	Dizziness
clonazepam	Dyspnea
clonazepam	Nausea
clonazepam	Numbness
clonazepam	Palpitations
clonazepam	Panic Disorder
clonazepam	Paresthesia
clonazepam	Sweating
clonazepam	Chills
clonazepam	Panic Attacks
clonazepam	Lightheadedness
clonazepam	Derealization
clonazepam	Sensory Discomfort
clonazepam	Trembling
clonazepam	Pounding heart
clonazepam	Abdominal distress
clonazepam	Fear of death
clonazepam	Choking sensation
clonazepam	Hot flushes
clonazepam	Has tingling sensation
clonidine	Flushing
clonidine	Renal hypertension
clonidine	Menopause
clonidine	Vascular Headaches
clonidine	Essential Hypertension
clonidine	Migraine Disorders
clonidine	Hypertensive crisis
clonidine	Hypertensive disease
clonidine	Hypotensive
clonidine	Hypertensive (finding)
clonidine	Malignant Neoplasms
clonidine	Neuralgia
clonidine	Pain
clonidine	Visceral Pain
clonidine	End stage cancer
clonidine	Mental disorders
clonidine	Psychotic Disorders
clonidine	Hyperactive behavior
clonidine	Forgetfulness
clonidine	Attention deficit hyperactivity disorder
clopidogrel	"Angina, Unstable"
clopidogrel	Atrial Fibrillation
clopidogrel	Myocardial Infarction
clopidogrel	Cerebrovascular accident
clopidogrel	Acute myocardial infarction
clopidogrel	ST segment elevation (finding)
clopidogrel	Thromboembolic event
clopidogrel	Ischemic stroke
clopidogrel	Acute Coronary Syndrome
clopidogrel	Peripheral Arterial Diseases
clopidogrel	Cerebrovascular Disorders
clopidogrel	Infarction
clopidogrel	Ischemia
clopidogrel	Neutropenia
clopidogrel	Thrombocytopenia
clopidogrel	Coronary Artery Disease
clopidogrel	Atherosclerosis
clopidogrel	Nephritic syndrome
clopidogrel	Non-Q wave MI
clopidogrel	Hemorrhage
clotrimazole	Candidiasis
clotrimazole	Cutaneous Candidiasis
clotrimazole	Communicable Diseases
clotrimazole	Erythrasma
clotrimazole	Paronychia Inflammation
clotrimazole	Tinea corporis (disorder)
clotrimazole	Tinea Pedis
clotrimazole	Tinea Versicolor
clotrimazole	Balanitis candida
clotrimazole	Genital candidiasis
clotrimazole	Tinea cruris
clotrimazole	Candidiasis of vagina
clotrimazole	Pruritus
clotrimazole	Vaginal Discharge
clotrimazole	"Candidiasis, Vulvovaginal"
clotrimazole	leukemia
clotrimazole	Immunocompromised Host
clotrimazole	Solid tumour
clotrimazole	Oropharyngeal candidiasis
clozapine	Cardiovascular Diseases
clozapine	Myocarditis
clozapine	Seizures
clozapine	Diarrhea
clozapine	Headache
clozapine	Cardiac Arrest
clozapine	Leukopenia
clozapine	Nausea
clozapine	Neutropenia
clozapine	Psychotic Disorders
clozapine	Schizophrenia
clozapine	Vomiting
clozapine	Agranulocytosis
clozapine	Epilepsy
clozapine	Myoclonus
clozapine	Generalized seizures
clozapine	Schizoaffective Disorder
clozapine	Suicide
clozapine	Suicidal behaviour
clozapine	Hyperglycemia
clozapine	Tardive Dyskinesia
codeine	Coughing
codeine	Diarrhea
codeine	Headache
codeine	Pain
codeine	"Pain, Postoperative"
codeine	Dry cough
colchicine	Diarrhea
colchicine	Gout acute
colchicine	Gout
colchicine	Gout flare
cortisone	Congenital adrenal hyperplasia
cortisone	Anemia
cortisone	"Anemia, Hemolytic"
cortisone	"Arthritis, Gouty"
cortisone	"Arthritis, Psoriatic"
cortisone	Rheumatoid Arthritis
cortisone	Asthma
cortisone	Berylliosis
cortisone	Bursitis
cortisone	Malignant Neoplasms
cortisone	Chorioretinitis
cortisone	Choroiditis
cortisone	Ulcerative Colitis
cortisone	Collagen Diseases
cortisone	Allergic Conjunctivitis
cortisone	Exfoliative dermatitis
cortisone	"Dermatitis, Atopic"
cortisone	Contact Dermatitis
cortisone	Dermatomyositis
cortisone	Diuresis
cortisone	Drug Allergy
cortisone	Edema
cortisone	Endocrine System Diseases
cortisone	Enteritis
cortisone	Epicondylitis
cortisone	Gastrointestinal Diseases
cortisone	Hematological Disease
cortisone	Herpes Zoster Ophthalmicus
cortisone	Hypercalcemia
cortisone	Inflammation
cortisone	Iridocyclitis
cortisone	Iritis
cortisone	Keratitis
cortisone	leukemia
cortisone	"Lupus Erythematosus, Systemic"
cortisone	Lymphoma
cortisone	Mycosis Fungoides
cortisone	Nephrotic Syndrome
cortisone	"Ophthalmia, Sympathetic"
cortisone	Optic Neuritis
cortisone	Degenerative polyarthritis
cortisone	Pemphigus
cortisone	Proteinuria
cortisone	Psoriasis
cortisone	Rheumatic Heart Disease
cortisone	"Rhinitis, Allergic, Perennial"
cortisone	Sarcoidosis
cortisone	Seborrheic dermatitis
cortisone	Serum Sickness
cortisone	Dermatologic disorders
cortisone	Ankylosing spondylitis
cortisone	Stevens-Johnson Syndrome
cortisone	Synovitis
cortisone	Tenosynovitis
cortisone	Thyroiditis
cortisone	Trichinellosis
cortisone	"Tuberculosis, Meningeal"
cortisone	"Tuberculosis, Pulmonary"
cortisone	Uremia
cortisone	"Uveitis, Posterior"
cortisone	"Purpura, Thrombocytopenic, Idiopathic"
cortisone	Polymyositis
cortisone	Acute leukemia
cortisone	"Skin Diseases, Bullous"
cortisone	Secondary thrombocytopenia
cortisone	Corneal ulcer marginal
cortisone	Hypoplastic anemia
cortisone	Erythema multiforme severe
cortisone	Simple Pulmonary Eosinophilia
cortisone	Secondary adrenocortical insufficiency
cortisone	Lupus Erythematosus
cortisone	Allergic conditions
cortisone	Decreased erythroid precursor production
cortisone	Aspiration pneumonitis
cortisone	Juvenile arthritis
cortisone	Arthritis
cortisone	Dermatitis
cortisone	Endophthalmitis
cortisone	Erythema Multiforme
cortisone	Hypersensitivity
cortisone	Pneumonia
cortisone	Ulcer
cyclobenzaprine	CNS disorder
cyclobenzaprine	Cerebral Palsy
cyclobenzaprine	Muscle Spasticity
cyclobenzaprine	Spasm
cyclobenzaprine	Pain
cyclobenzaprine	Spinal Cord Diseases
cyclobenzaprine	Sore to touch
cyclopentolate	Mydriasis
cyclopentolate	Cycloplegia
cyclophosphamide	Aplastic Anemia
cyclophosphamide	Autoimmune Diseases
cyclophosphamide	Malignant Neoplasms
cyclophosphamide	Graft Rejection
cyclophosphamide	Heart Diseases
cyclophosphamide	Hodgkin Disease
cyclophosphamide	leukemia
cyclophosphamide	Lymphoma
cyclophosphamide	"Lymphoma, Non-Hodgkin"
cyclophosphamide	Lymphoproliferative Disorders
cyclophosphamide	Multiple Myeloma
cyclophosphamide	Mycosis Fungoides
cyclophosphamide	Neoplasms
cyclophosphamide	Neuroblastoma
cyclophosphamide	Retinoblastoma
cyclophosphamide	Wegener Granulomatosis
cyclophosphamide	Malignant neoplasm of lung
cyclophosphamide	Breast Carcinoma
cyclophosphamide	Ovarian adenocarcinoma
cyclophosphamide	Renal Insufficiency
cyclophosphamide	Malignant neoplasm of breast
cyclophosphamide	Malignant neoplasm of urinary bladder
cyclophosphamide	Waldenstrom Macroglobulinemia
cyclophosphamide	Osteosarcoma
cyclophosphamide	Rhabdomyosarcoma
cyclophosphamide	Thymoma
cyclophosphamide	Malignant neoplasm of testis
cyclophosphamide	Malignant neoplasm of brain
cyclophosphamide	Cervix carcinoma
cyclophosphamide	Endometrial Carcinoma
cyclophosphamide	Ewings sarcoma
cyclophosphamide	Gestational Trophoblastic Neoplasms
cyclophosphamide	Sarcoma
cyclophosphamide	Burkitt Lymphoma
cyclophosphamide	Chronic Lymphocytic Leukemia
cyclophosphamide	"Myeloid Leukemia, Chronic"
cyclophosphamide	Virus Diseases
cyclophosphamide	Precursor cell lymphoblastic lymphoma
cyclophosphamide	Monocytic leukemia
cyclophosphamide	"Leukemia, Myelocytic, Acute"
cyclophosphamide	Acute myelomonocytic leukemia
cyclophosphamide	"Lymphoma, Follicular"
cyclophosphamide	Mediastinal Diseases
cyclophosphamide	Diffuse Large B-Cell Lymphoma
cyclophosphamide	Nephrotic Syndrome
cyclophosphamide	Neutropenia
cyproheptadine	anaphylaxis
cyproheptadine	Angioedema
cyproheptadine	Conjunctivitis
cyproheptadine	Hypersensitivity
cyproheptadine	Urticaria
cyproheptadine	Allergic rhinitis (disorder)
cyproheptadine	Allergic Conjunctivitis
cyproheptadine	Hay fever
cyproheptadine	"Rhinitis, Vasomotor"
cyproheptadine	Cold urticaria
cyproheptadine	Urticaria physical
dacarbazine	Lymphoma
dacarbazine	melanoma
dacarbazine	Neuroblastoma
dacarbazine	Medullary carcinoma of thyroid
dacarbazine	Sarcoma
dacarbazine	Pancreatic Endocrine Carcinoma
dacarbazine	Malignant Neoplasms
dacarbazine	Metastatic malignant melanoma
dacarbazine	Hodgkin Disease
danazol	Breast Diseases
danazol	Endometriosis
danazol	Breast Fibrocystic Disease
danazol	"Angioedemas, Hereditary"
danazol	Mastodynia
danazol	Menorrhagia
danazol	Diabetic
danazol	Angioedema
danazol	Pain
danazol	Stress
danazol	Sore to touch
dantrolene	Cerebral Palsy
dantrolene	Clonus
dantrolene	Multiple Sclerosis
dantrolene	Muscle Spasticity
dantrolene	Spinal Cord Injuries
dantrolene	Cerebrovascular accident
dantrolene	Fever
dantrolene	Cyanosis
dantrolene	Hypercapnia
dantrolene	Muscle Rigidity
dantrolene	Tachycardia
dantrolene	Metabolic acidosis
dantrolene	Tachypnea
dantrolene	Hypermetabolism
dantrolene	Neuroleptic Malignant Syndrome
dantrolene	Immobile
dapsone	Acne Vulgaris
dapsone	Dermatitis Herpetiformis
dapsone	Leprosy
dapsone	Sensitisation
darifenacin	Increased frequency of micturition
darifenacin	Urge Incontinence
darifenacin	Benign prostatic hypertrophy
darifenacin	Communicable Diseases
darifenacin	Irritable Bowel Syndrome
darifenacin	Nocturia
darifenacin	Overactive Bladder
darifenacin	Detrusor hyperreflexia
dasatinib	Blast Phase
dasatinib	Heart Diseases
dasatinib	Acute lymphocytic leukemia
dasatinib	"Myeloid Leukemia, Chronic"
dasatinib	"Leukemia, Myeloid, Chronic-Phase"
dasatinib	Pleural effusion disorder
dasatinib	Philadelphia chromosome positive
dasatinib	leukemia
delavirdine	Achlorhydria
delavirdine	Cross resistance
desflurane	Apnea
desflurane	Coughing
desipramine	Bipolar Disorder
desipramine	Involutional Depression
desipramine	Depressive disorder
desipramine	"Hypotension, Orthostatic"
desipramine	Psychotic Disorders
desipramine	Psychotic depression
desloratadine	Urticaria
desloratadine	Allergic rhinitis (disorder)
desloratadine	Coughing
desloratadine	Hay fever
desloratadine	Pruritus
desloratadine	Sneezing
desloratadine	Redness
desloratadine	Lacrimation
desloratadine	Chronic spontaneous urticaria
desloratadine	Rhinorrhea
desloratadine	"Rhinitis, Allergic, Perennial"
desoximetasone	Dermatologic disorders
dexamethasone	Inflammation
dexamethasone	Uveitis
dexamethasone	Central retinal vein occlusion
dexamethasone	Macular retinal edema
dexamethasone	Venous retinal branch occlusion
dexamethasone	"Dermatitis, Atopic"
dexamethasone	Contact Dermatitis
dexamethasone	Stasis dermatitis
dexamethasone	Neurodermatitis
dexamethasone	Psoriasis
dexamethasone	Seborrheic dermatitis
dexamethasone	Dermatologic disorders
dexamethasone	Eczema nummular
dexamethasone	"Eczema, Infantile"
dexamethasone	Senile pruritus
dexamethasone	Solar dermatitis
dexamethasone	Cerebral Edema
dexamethasone	Brain Neoplasms
dexamethasone	Hypersensitivity
dexamethasone	Nausea
dexamethasone	Vomiting
dexamethasone	Acute leukemia
dexamethasone	Allergic Conjunctivitis
dexamethasone	Cyclitis
dexamethasone	Edema
dexamethasone	Iritis
dexamethasone	Rosacea
dexamethasone	Punctate keratitis
dexamethasone	Injury of cornea
dexamethasone	Infective conjunctivitis
dexamethasone	Herpes zoster keratitis
dexamethasone	Alopecia Areata
dexamethasone	"Arthritis, Psoriatic"
dexamethasone	Rheumatoid Arthritis
dexamethasone	Asthma
dexamethasone	Bursitis
dexamethasone	Collagen Diseases
dexamethasone	Dermatomyositis
dexamethasone	Scleroderma
dexamethasone	Epicondylitis
dexamethasone	Fibromyalgia
dexamethasone	Insect Bites
dexamethasone	Keloid
dexamethasone	Lichen Planus
dexamethasone	"Lupus Erythematosus, Discoid"
dexamethasone	"Lupus Erythematosus, Systemic"
dexamethasone	Myositis
dexamethasone	Pregnancy
dexamethasone	"Rhinitis, Allergic, Perennial"
dexamethasone	Status Asthmaticus
dexamethasone	Tendinitis
dexamethasone	Tenosynovitis
dexamethasone	Granuloma Annulare
dexamethasone	Lichen Simplex Chronicus
dexamethasone	Premature Birth
dexamethasone	Necrobiosis Lipoidica Diabeticorum
dexamethasone	Allergic bronchitis
dexamethasone	Respiratory Distress Syndrome
dexamethasone	Shock
dexamethasone	"Anemia, Hemolytic"
dexamethasone	Arteritis
dexamethasone	Connective Tissue Diseases
dexamethasone	Cushing Syndrome
dexamethasone	Disorder of eye
dexamethasone	Gastrointestinal Diseases
dexamethasone	Hematological Disease
dexamethasone	Hypercalcemia
dexamethasone	Inflammatory Bowel Diseases
dexamethasone	leukemia
dexamethasone	Neoplasms
dexamethasone	Pemphigus
dexamethasone	"Respiratory Distress Syndrome, Newborn"
dexamethasone	Secondary Adrenal Insufficiency
dexamethasone	Addison Disease
dexamethasone	Adrenal gland hypofunction
dexamethasone	Malignant Neoplasms
dexamethasone	Chorioretinitis
dexamethasone	Ulcerative Colitis
dexamethasone	Communicable Diseases
dexamethasone	Dermatitis
dexamethasone	Exfoliative dermatitis
dexamethasone	Endocrine System Diseases
dexamethasone	Enteritis
dexamethasone	Erythema Multiforme
dexamethasone	Keratitis
dexamethasone	Laryngismus
dexamethasone	Laryngitis
dexamethasone	Lung diseases
dexamethasone	Lymphoma
dexamethasone	Optic Neuritis
dexamethasone	Degenerative polyarthritis
dexamethasone	Polyarteritis Nodosa
dexamethasone	Phagocytosis
dexamethasone	Respiratory Insufficiency
dexamethasone	Rheumatism
dexamethasone	Rheumatic Heart Disease
dexamethasone	Sarcoidosis
dexamethasone	Cutaneous sarcoidosis
dexamethasone	Cerebrovascular accident
dexamethasone	Swelling
dexamethasone	Giant Cell Arteritis
dexamethasone	Wounds and Injuries
dexamethasone	Addisonian crisis
dexamethasone	Corneal ulcer marginal
dexamethasone	Sore to touch
dexamethasone	Secondary adrenocortical insufficiency
dexamethasone	Redness
dexamethasone	Anterior Ischemic Optic Neuropathy
dexamethasone	Thrombocytopenic purpura
dexamethasone	Asthma chronic
dexamethasone	Adrenal Gland Hyperfunction
dexamethasone	Congenital adrenal hyperplasia
dexamethasone	"Arthritis, Gouty"
dexamethasone	Berylliosis
dexamethasone	Colitis
dexamethasone	Diuresis
dexamethasone	Drug Allergy
dexamethasone	Hay fever
dexamethasone	Craniocerebral Trauma
dexamethasone	Kidney Diseases
dexamethasone	Multiple Sclerosis
dexamethasone	Mycosis Fungoides
dexamethasone	"Ophthalmia, Sympathetic"
dexamethasone	Proteinuria
dexamethasone	Pure Red-Cell Aplasia
dexamethasone	Serum Sickness
dexamethasone	Ankylosing spondylitis
dexamethasone	Stevens-Johnson Syndrome
dexamethasone	Thyroiditis
dexamethasone	Trichinellosis
dexamethasone	"Tuberculosis, Meningeal"
dexamethasone	"Tuberculosis, Pulmonary"
dexamethasone	"Purpura, Thrombocytopenic, Idiopathic"
dexamethasone	Polymyositis
dexamethasone	"Skin Diseases, Bullous"
dexamethasone	Secondary thrombocytopenia
dexamethasone	Hypoplastic anemia
dexamethasone	Metastatic malignant neoplasm to brain
dexamethasone	Erythema multiforme severe
dexamethasone	Lupus Erythematosus
dexamethasone	Enteritis ulcerative
dexamethasone	Allergic conditions
dexamethasone	"Anemia, Diamond-Blackfan"
dexamethasone	Eosinophilic Pneumonia
dexamethasone	"Nephrotic Syndrome, Minimal Change"
dexamethasone	Temporal Arteritis
dexamethasone	Juvenile arthritis
dexamethasone	Thermal burn
dexamethasone	Anemia
dexamethasone	Choroiditis
dexamethasone	Herpes Zoster Ophthalmicus
dexamethasone	Iridocyclitis
dexamethasone	Nephrotic Syndrome
dexamethasone	Synovitis
dexamethasone	Uremia
dexamethasone	"Uveitis, Posterior"
dexamethasone	Simple Pulmonary Eosinophilia
dexamethasone	Decreased erythroid precursor production
dexamethasone	Aspiration pneumonitis
dexamethasone	Laryngeal Edema
dexamethasone	Urticaria
dexamethasone	Transfusion Reaction
dexamethasone	Infective otitis externa
dexamethasone	Otitis Externa
dexamethasone	Abdomen distended
dexamethasone	Pancreatitis
dexamethasone	Ulcerative esophagitis
dexamethasone	Mycoses
dexamethasone	Retinal Vein Occlusion
dexamethasone	Diabetic macular edema
dexamethasone	Endocrine disorders congenital
dexamethasone	Adrenal hyperplasia
dexmedetomidine	Agitation
dexmedetomidine	Bradycardia
dexrazoxane	Extravasation
dexrazoxane	Malignant neoplasm of breast
dexrazoxane	Neoplasms
dexrazoxane	Carcinoma breast stage IV
dexrazoxane	Cardiomyopathies
diazepam	Anxiety
diazepam	Anxiety Disorders
diazepam	Athetosis
diazepam	Cerebral Palsy
diazepam	Delirium
diazepam	Inflammation
diazepam	Muscle Spasticity
diazepam	Paraplegia
diazepam	Spasm
diazepam	Tremor
diazepam	Wounds and Injuries
diazepam	Stiff-Person Syndrome
diazepam	Agitation
diazepam	Tension
