name1,name2,,,,
Caspofungin,Flucytosine,14506059,http://www.ncbi.nlm.nih.gov/pubmed/14506059,"Schwarz P., Dromer F., Lortholary O., Dannaoui E. (2003) In vitro interaction of flucytosine with conventional and new antifungals against Cryptococcus neoformans clinical isolates. Antimicrobial Agents and Chemotherapy 47:3361-3364. DOI: 10.1128/aac.47.10.3361-3364.2003",
Caspofungin acetate,FK506,10681348,http://www.ncbi.nlm.nih.gov/pubmed/ 10681348,"Del Poeta M, Cruz MC, Cardenas ME, Perfect JR, Heitman J. (2000) Synergistic antifungal activities of bafilomycin A(1), fluconazole, and the pneumocandin MK-0991/caspofungin acetate (L-743,873) with calcineurin inhibitors FK506 and L-685,818 against Cryptococcus neoformans. Antimicrob Agents Chemother. 44(3):739-46.",
Caspofungin acetate,Amphotericin B,9021188,http://www.ncbi.nlm.nih.gov/pubmed/ 9021188,"Franzot SP, Casadevall A. (1997) Pneumocandin L-743,872 enhances the activities of amphotericin B and fluconazole against Cryptococcus neoformans in vitro. Antimicrob Agents Chemother. 41(2):331-6.",
cetylpyridinium chloride,Fluconazole,15673785,http://www.ncbi.nlm.nih.gov/pubmed/15673785,"Edlind MP, Smith WL, Edlind TD. (2005) Effects of cetylpyridinium chloride resistance and treatment on fluconazole activity versus Candida albicans. Antimicrob Agents Chemother. 49(2):843-5.",
Chlorpromazine,Fluconazole,10952582,http://www.ncbi.nlm.nih.gov/pubmed/10952582,"Marchetti O., Moreillon P., Glauser M.P., Bille J., Sanglard D. (2000) Potent synergism of the combination of fluconazole and cyclosporine in Candida albicans. Antimicrobial Agents and Chemotherapy 44:2373-2381.",
Chlorpromazine,Ketoconazole,3391057,http://www.ncbi.nlm.nih.gov/pubmed/3391057,"Bengigi G., Polacheck I., Eilam Y. (1988) In vitro synergistic activity of ketoconazole with trifluoperazine and with chlorpromazine against medically important yeasts. Chemotherapy 34:96-100.",
ciclopirox,Ketoconazole,19307370,http://www.ncbi.nlm.nih.gov/pubmed/ 19307370,"Zarember KA, Cruz AR, Huang CY, Gallin JI. (2009) Antifungal activities of natural and synthetic iron chelators alone and in combination with azole and polyene antibiotics against Aspergillus fumigatus. Antimicrob Agents Chemother. 53(6):2654-6.",
Cilofungin,Amphotericin B,1929290,http://www.ncbi.nlm.nih.gov/pubmed/ 1929290,"Hanson LH, Perlman AM, Clemons KV, Stevens DA. (1991) Synergy between cilofungin and amphotericin B in a murine model of candidiasis. Antimicrob Agents Chemother. 35(7):1334-7.",
Cilofungin,Amphotericin B,1759836,http://www.ncbi.nlm.nih.gov/pubmed/ 1759836,"Sugar AM, Goldani LZ, Picard M. (1991) Treatment of murine invasive candidiasis with amphotericin B and cilofungin: evidence for enhanced activity with combination therapy. Antimicrob Agents Chemother. 35(10):2128-30.",
Ciprofloxacin,Amphotericin B,18299413,http://www.ncbi.nlm.nih.gov/pubmed/ 18299413,"Stergiopoulou T, Meletiadis J, Sein T, Papaioannidou P, Tsiouris I, Roilides E, Walsh TJ. (2008) Isobolographic analysis of pharmacodynamic interactions between antifungal agents and ciprofloxacin against Candida albicans and Aspergillus fumigatus. Antimicrob Agents Chemother. 52(6):2196-204.",
clarithromycin,Dapsone,9021174,http://www.ncbi.nlm.nih.gov/pubmed/ 9021174,"Walzer PD, Runck J, Orr S, Foy J, Steele P, White M. (1997) Clinically used antimicrobial drugs against experimental pneumocystosis, singly and in combination: analysis of drug interactions and efficacies. Antimicrob Agents Chemother. 41(2):242-50.",
Clomipramine,Fluconazole,10952582,http://www.ncbi.nlm.nih.gov/pubmed/10952582,"Marchetti O., Moreillon P., Glauser M.P., Bille J., Sanglard D. (2000) Potent synergism of the combination of fluconazole and cyclosporine in Candida albicans. Antimicrobial Agents and Chemotherapy 44:2373-2381.",
Clotrimazole,6-amino-2-n-pentylthiobenzothiazole,10854813,http://www.ncbi.nlm.nih.gov/pubmed/10854813,"Mï¿½ï¿½ckovï¿½ï¿½ M, Bujdï¿½ï¿½kovï¿½ï¿½ H, Kuchta T. (2000) Synergy between 6-amino-2-n-pentylthiobenzothiazole and ergosterol biosynthesis-inhibiting antimycotics against Candida albicans in vitro. Int J Antimicrob Agents. 15(2):153-4.",
Clotrimazole,Nikkomycin X,1416829,http://www.ncbi.nlm.nih.gov/pubmed/ 1416829,"Hector RF, Schaller K. (1992) Positive interaction of nikkomycins and azoles against Candida albicans in vitro and in vivo. Antimicrob Agents Chemother. 36(6):1284-9.",
Clotrimazole,nikkomycin Z,1416829,http://www.ncbi.nlm.nih.gov/pubmed/ 1416829,"Hector RF, Schaller K. (1992) Positive interaction of nikkomycins and azoles against Candida albicans in vitro and in vivo. Antimicrob Agents Chemother. 36(6):1284-9.",
cyclic peptide 6752,Caspofungin,20106636,http://www.ncbi.nlm.nih.gov/pubmed/ 20106636,"Harris MR, Coote PJ. (2010) Combination of caspofungin or anidulafungin with antimicrobial peptides results in potent synergistic killing of Candida albicans and Candida glabrata in vitro. Int J Antimicrob Agents. 35(4):347-56.",
cyclic peptide GS14K4,Anidulafungin,20106636,http://www.ncbi.nlm.nih.gov/pubmed/ 20106636,"Harris MR, Coote PJ. (2010) Combination of caspofungin or anidulafungin with antimicrobial peptides results in potent synergistic killing of Candida albicans and Candida glabrata in vitro. Int J Antimicrob Agents. 35(4):347-56.",
cyclic peptide GS14K4,Caspofungin,20106636,http://www.ncbi.nlm.nih.gov/pubmed/ 20106636,"Harris MR, Coote PJ. (2010) Combination of caspofungin or anidulafungin with antimicrobial peptides results in potent synergistic killing of Candida albicans and Candida glabrata in vitro. Int J Antimicrob Agents. 35(4):347-56.",
Cyclosporine,Amphotericin B,18070977,http://www.ncbi.nlm.nih.gov/pubmed/ 18070977,"Kontoyiannis DP, Lewis RE, Alexander BD, Lortholary O, Dromer F, Gupta KL, John GT, Del Busto R, Klintmalm GB, Somani J, Lyon GM, Pursell K, Stosor V, Munoz P, Limaye AP, Kalil AC, Pruett TL, Garcia-Diaz J, Humar A, Houston S, House AA, Wray D, Orloff S, Dowdy LA, Fisher RA, Heitman J, Albert ND, Wagener MM, Singh N. (2008) Calcineurin inhibitor agents interact synergistically with antifungal agents in vitro against Cryptococcus neoformans isolates: correlation with outcome in solid organ transplant recipients with cryptococcosis. Antimicrob Agents Chemother. 52(2):735-8.",
Cyclosporine,Amphotericin B,19451295,http://www.ncbi.nlm.nih.gov/pubmed/19451295,"Dannaoui E, Schwarz P, Lortholary O. (2009) In vitro interactions between antifungals and immunosuppressive drugs against zygomycetes. Antimicrob Agents Chemother. 53(8):3549-51.",
Cyclosporine,Caspofungin,15105118,http://www.ncbi.nlm.nih.gov/pubmed/15105118,"Steinbach WJ, Schell WA, Blankenship JR, Onyewu C, Heitman J, Perfect JR. (2004) In vitro interactions between antifungals and immunosuppressants against Aspergillus fumigatus. Antimicrob Agents Chemother. 48(5):1664-9.",
Cyclosporine,Fluconazole,18070977,http://www.ncbi.nlm.nih.gov/pubmed/ 18070977,"Kontoyiannis DP, Lewis RE, Alexander BD, Lortholary O, Dromer F, Gupta KL, John GT, Del Busto R, Klintmalm GB, Somani J, Lyon GM, Pursell K, Stosor V, Munoz P, Limaye AP, Kalil AC, Pruett TL, Garcia-Diaz J, Humar A, Houston S, House AA, Wray D, Orloff S, Dowdy LA, Fisher RA, Heitman J, Albert ND, Wagener MM, Singh N. (2008) Calcineurin inhibitor agents interact synergistically with antifungal agents in vitro against Cryptococcus neoformans isolates: correlation with outcome in solid organ transplant recipients with cryptococcosis. Antimicrob Agents Chemother. 52(2):735-8.",
Cyclosporine,Itraconazole,19451295,http://www.ncbi.nlm.nih.gov/pubmed/19451295,"Dannaoui E, Schwarz P, Lortholary O. (2009) In vitro interactions between antifungals and immunosuppressive drugs against zygomycetes. Antimicrob Agents Chemother. 53(8):3549-51.",
Cyclosporine,Posaconazole,19451295,http://www.ncbi.nlm.nih.gov/pubmed/19451295,"Dannaoui E, Schwarz P, Lortholary O. (2009) In vitro interactions between antifungals and immunosuppressive drugs against zygomycetes. Antimicrob Agents Chemother. 53(8):3549-51.",
Cyclosporine,ravuconazole,19451295,http://www.ncbi.nlm.nih.gov/pubmed/19451295,"Dannaoui E., Schwarz P., Lortholary O. (2009) In Vitro Interactions between Antifungals and Immunosuppressive Drugs against Zygomycetes. Antimicrobial Agents and Chemotherapy 53:3549-3551. DOI: 10.1128/aac.00184-09",
Cyclosporine A,Amphotericin B,19451295,http://www.ncbi.nlm.nih.gov/pubmed/19451295,"Dannaoui E., Schwarz P., Lortholary O. (2009) In Vitro Interactions between Antifungals and Immunosuppressive Drugs against Zygomycetes. Antimicrobial Agents and Chemotherapy 53:3549-3551. DOI: 10.1128/aac.00184-09",
Cyclosporine A,Itraconazole,18194958,http://www.ncbi.nlm.nih.gov/pubmed/18194958,"Li Y., Sun S.J., Guo Q.J., Ma L., Shi C.W., Su L.Q., Li H.J. (2008) In vitro interaction between azoles and cyclosporin A against clinical isolates of Candida albicans determined by the chequerboard method and time-kill curves. Journal of Antimicrobial Chemotherapy 61:577-585. DOI: 10.1093/jac/dkm493.",
Cyclosporine A,Fenpropimorph,20029371,http://www.ncbi.nlm.nih.gov/pubmed/20029371,"Jansen G., Lee A.Y., Epp E., Fredette A., Surprenant J., Harcus D., Scott M., Tan E., Nishimura T., Whiteway M., Hallett M., Thomas D.Y. (2009) Chemogenomic profiling predicts antifungal synergies. Molecular Systems Biology 5. DOI: 10.1038/msb.2009.95.",
Cyclosporine A,Fluconazole,20029371,http://www.ncbi.nlm.nih.gov/pubmed/20029371,"Jansen G., Lee A.Y., Epp E., Fredette A., Surprenant J., Harcus D., Scott M., Tan E., Nishimura T., Whiteway M., Hallett M., Thomas D.Y. (2009) Chemogenomic profiling predicts antifungal synergies. Molecular Systems Biology 5. DOI: 10.1038/msb.2009.95.",
Cyclosporine A,Tunicamycin,20029371,http://www.ncbi.nlm.nih.gov/pubmed/20029371,"Jansen G., Lee A.Y., Epp E., Fredette A., Surprenant J., Harcus D., Scott M., Tan E., Nishimura T., Whiteway M., Hallett M., Thomas D.Y. (2009) Chemogenomic profiling predicts antifungal synergies. Molecular Systems Biology 5. DOI: 10.1038/msb.2009.95.",
Cyclosporine A,Voriconazole,20029371,http://www.ncbi.nlm.nih.gov/pubmed/20029371,"Jansen G., Lee A.Y., Epp E., Fredette A., Surprenant J., Harcus D., Scott M., Tan E., Nishimura T., Whiteway M., Hallett M., Thomas D.Y. (2009) Chemogenomic profiling predicts antifungal synergies. Molecular Systems Biology 5. DOI: 10.1038/msb.2009.95.",
Cyclosporine A,Ketoconazole,17360571,http://www.ncbi.nlm.nih.gov/pubmed/17360571,"Zhang L.X., Yan K.Z., Zhang Y., Huang R., Bian J., Zheng C.S., Sun H.X., Chen Z.H., Sun N., An R., Min F.G., Zhao W.B., Zhuo Y., You J.L., Song Y.J., Yu Z.Y., Liu Z.H., Yang K.Q., Gao H., Dai H.Q., Zhang X.L., Wang J., Fu C.Z., Pei G., Liu J.T., Zhang S., Goodfellow M., Jiang Y.Y., Kuai J., Zhou G.C., Chen X.P. (2007) High-throughput synergy screening identifies microbial metabolites as combination agents for the treatment of fungal infections. Proceedings of the National Academy of Sciences of the United States of America 104:4606-4611. DOI: 10.1073/pnas.0609370104.",
Cyclosporine A,Posaconazole,19451295,http://www.ncbi.nlm.nih.gov/pubmed/19451295,"Dannaoui E., Schwarz P., Lortholary O. (2009) In Vitro Interactions between Antifungals and Immunosuppressive Drugs against Zygomycetes. Antimicrobial Agents and Chemotherapy 53:3549-3551. DOI: 10.1128/aac.00184-09",
Cyclosporine A,Ravuconazole,19451295,http://www.ncbi.nlm.nih.gov/pubmed/19451295,"Dannaoui E., Schwarz P., Lortholary O. (2009) In Vitro Interactions between Antifungals and Immunosuppressive Drugs against Zygomycetes. Antimicrobial Agents and Chemotherapy 53:3549-3551. DOI: 10.1128/aac.00184-09",
Dacarbazine,Phenazopyridine,12799470,http://www.ncbi.nlm.nih.gov/pubmed/12799470,"Borisy A.A., Elliott P.J., Hurst N.W., Lee M.S., Lehar J., Price E.R., Serbedzija G., Zimmermann G.R., Foley M.A., Stockwell B.R., Keith C.T. (2003) Systematic discovery of multicomponent therapeutics. Proceedings of the National Academy of Sciences of the United States of America 100:7977-7982. DOI: 10.1073/pnas.1337088100.",
Dacarbazine,Estradiol,12799470,http://www.ncbi.nlm.nih.gov/pubmed/12799470,"Borisy A.A., Elliott P.J., Hurst N.W., Lee M.S., Lehar J., Price E.R., Serbedzija G., Zimmermann G.R., Foley M.A., Stockwell B.R., Keith C.T. (2003) Systematic discovery of multicomponent therapeutics. Proceedings of the National Academy of Sciences of the United States of America 100:7977-7982. DOI: 10.1073/pnas.1337088100.",
Dacarbazine,Tamoxifen,12799470,http://www.ncbi.nlm.nih.gov/pubmed/12799470,"Borisy A.A., Elliott P.J., Hurst N.W., Lee M.S., Lehar J., Price E.R., Serbedzija G., Zimmermann G.R., Foley M.A., Stockwell B.R., Keith C.T. (2003) Systematic discovery of multicomponent therapeutics. Proceedings of the National Academy of Sciences of the United States of America 100:7977-7982. DOI: 10.1073/pnas.1337088100.",
Dacarbazine,Pentamidine,12799470,http://www.ncbi.nlm.nih.gov/pubmed/12799470,"Borisy A.A., Elliott P.J., Hurst N.W., Lee M.S., Lehar J., Price E.R., Serbedzija G., Zimmermann G.R., Foley M.A., Stockwell B.R., Keith C.T. (2003) Systematic discovery of multicomponent therapeutics. Proceedings of the National Academy of Sciences of the United States of America 100:7977-7982. DOI: 10.1073/pnas.1337088100.",
dapsone,Clarithromycin,9021174,http://www.ncbi.nlm.nih.gov/pubmed/ 9021174,"Walzer PD, Runck J, Orr S, Foy J, Steele P, White M. (1997) Clinically used antimicrobial drugs against experimental pneumocystosis, singly and in combination: analysis of drug interactions and efficacies. Antimicrob Agents Chemother. 41(2):242-50.",
Defensin NP-1,Fluconazole,8109927,http://www.ncbi.nlm.nih.gov/pubmed/8109927,"Alcouloumre MS, Ghannoum MA, Ibrahim AS, Selsted ME, Edwards JE Jr. (1993) Fungicidal properties of defensin NP-1 and activity against Cryptococcus neoformans in vitro. Antimicrob Agents Chemother. 37(12):2628-32.",
deferiprone,Fluconazole,19307370,http://www.ncbi.nlm.nih.gov/pubmed/ 19307370,"Zarember KA, Cruz AR, Huang CY, Gallin JI. (2009) Antifungal activities of natural and synthetic iron chelators alone and in combination with azole and polyene antibiotics against Aspergillus fumigatus. Antimicrob Agents Chemother. 53(6):2654-6.",
deferiprone,Ketoconazole,19307370,http://www.ncbi.nlm.nih.gov/pubmed/ 19307370,"Zarember KA, Cruz AR, Huang CY, Gallin JI. (2009) Antifungal activities of natural and synthetic iron chelators alone and in combination with azole and polyene antibiotics against Aspergillus fumigatus. Antimicrob Agents Chemother. 53(6):2654-6.",
Dermaseptin S3,Anidulafungin,20106636,http://www.ncbi.nlm.nih.gov/pubmed/ 20106636,"Harris MR, Coote PJ. (2010) Combination of caspofungin or anidulafungin with antimicrobial peptides results in potent synergistic killing of Candida albicans and Candida glabrata in vitro. Int J Antimicrob Agents. 35(4):347-56.",
Dermaseptin S3,Caspofungin,20106636,http://www.ncbi.nlm.nih.gov/pubmed/ 20106636,"Harris MR, Coote PJ. (2010) Combination of caspofungin or anidulafungin with antimicrobial peptides results in potent synergistic killing of Candida albicans and Candida glabrata in vitro. Int J Antimicrob Agents. 35(4):347-56.",
Disulfiram,Amphotericin B,12799470,http://www.ncbi.nlm.nih.gov/pubmed/12799470,"Borisy A.A., Elliott P.J., Hurst N.W., Lee M.S., Lehar J., Price E.R., Serbedzija G., Zimmermann G.R., Foley M.A., Stockwell B.R., Keith C.T. (2003) Systematic discovery of multicomponent therapeutics. Proceedings of the National Academy of Sciences of the United States of America 100:7977-7982. DOI: 10.1073/pnas.1337088100.",
Disulfiram,Ketoconazole,12799470,http://www.ncbi.nlm.nih.gov/pubmed/12799470,"Borisy A.A., Elliott P.J., Hurst N.W., Lee M.S., Lehar J., Price E.R., Serbedzija G., Zimmermann G.R., Foley M.A., Stockwell B.R., Keith C.T. (2003) Systematic discovery of multicomponent therapeutics. Proceedings of the National Academy of Sciences of the United States of America 100:7977-7982. DOI: 10.1073/pnas.1337088100.",
dodecapeptide,Amphotericin B,17156978,http://www.ncbi.nlm.nih.gov/pubmed/ 17156978,"Duggineni S, Srivastava G, Kundu B, Kumar M, Chaturvedi AK, Shukla PK. (2007) A novel dodecapeptide from a combinatorial synthetic library exhibits potent antifungal activity and synergy with standard antimycotic agents. Int J Antimicrob Agents. 29(1):73-8.",
dodecapeptide,Fluconazole,17156978,http://www.ncbi.nlm.nih.gov/pubmed/ 17156978,"Duggineni S, Srivastava G, Kundu B, Kumar M, Chaturvedi AK, Shukla PK. (2007) A novel dodecapeptide from a combinatorial synthetic library exhibits potent antifungal activity and synergy with standard antimycotic agents. Int J Antimicrob Agents. 29(1):73-8.",
dodecapeptide,Itraconazole,17156978,http://www.ncbi.nlm.nih.gov/pubmed/ 17156978,"Duggineni S, Srivastava G, Kundu B, Kumar M, Chaturvedi AK, Shukla PK. (2007) A novel dodecapeptide from a combinatorial synthetic library exhibits potent antifungal activity and synergy with standard antimycotic agents. Int J Antimicrob Agents. 29(1):73-8.",
doxycycline,Fluconazole,19515537,http://www.ncbi.nlm.nih.gov/pubmed/ 19515537,"Miceli MH, Bernardo SM, Lee SA. (2009) In vitro analyses of the combination of high-dose doxycycline and antifungal agents against Candida albicans biofilms. Int J Antimicrob Agents. 34(4):326-32.",
DU-6859a,Amphotericin B,7492096,http://www.ncbi.nlm.nih.gov/pubmed/ 7492096,"Nakajima R, Kitamura A, Someya K, Tanaka M, Sato K. (1995) In vitro and in vivo antifungal activities of DU-6859a, a fluoroquinolone, in combination with amphotericin B and fluconazole against pathogenic fungi. Antimicrob Agents Chemother. 39(7):1517-21.",
DU-6859a,Fluconazole,7492096,http://www.ncbi.nlm.nih.gov/pubmed/ 7492096,"Nakajima R, Kitamura A, Someya K, Tanaka M, Sato K. (1995) In vitro and in vivo antifungal activities of DU-6859a, a fluoroquinolone, in combination with amphotericin B and fluconazole against pathogenic fungi. Antimicrob Agents Chemother. 39(7):1517-21.",
econazole,6-amino-2-n-pentylthiobenzothiazole,10854813,http://www.ncbi.nlm.nih.gov/pubmed/10854813,"Mï¿½ï¿½ckovï¿½ï¿½ M, Bujdï¿½ï¿½kovï¿½ï¿½ H, Kuchta T. (2000) Synergy between 6-amino-2-n-pentylthiobenzothiazole and ergosterol biosynthesis-inhibiting antimycotics against Candida albicans in vitro. Int J Antimicrob Agents. 15(2):153-4.",
econazole,Ibuprofen,8592989,http://www.ncbi.nlm.nih.gov/pubmed/ 8592989,"Tariq VN, Scott EM, McCain NE. (1995) Use of decimal assay for additivity to demonstrate synergy in pair combinations of econazole, nikkomycin Z, and ibuprofen against Candida albicans in vitro. Antimicrob Agents Chemother. 39(12):2615-9.",
econazole,Nikkomycin Z,8592989,http://www.ncbi.nlm.nih.gov/pubmed/ 8592989,"Tariq VN, Scott EM, McCain NE. (1995) Use of decimal assay for additivity to demonstrate synergy in pair combinations of econazole, nikkomycin Z, and ibuprofen against Candida albicans in vitro. Antimicrob Agents Chemother. 39(12):2615-9.",
Estradiol,Dacarbazine,12799470,http://www.ncbi.nlm.nih.gov/pubmed/12799470,"Borisy A.A., Elliott P.J., Hurst N.W., Lee M.S., Lehar J., Price E.R., Serbedzija G., Zimmermann G.R., Foley M.A., Stockwell B.R., Keith C.T. (2003) Systematic discovery of multicomponent therapeutics. Proceedings of the National Academy of Sciences of the United States of America 100:7977-7982. DOI: 10.1073/pnas.1337088100.",
ethambutol,Amphotericin B,19520551,http://www.ncbi.nlm.nih.gov/pubmed/ 19520551,"Cordeiro Rde A, Brilhante RS, Rocha MF, Medrano DJ, Monteiro AJ, Tavares JL, de Lima RA, de Camargo ZP, Sidrim JJ. (2009) In vitro synergistic effects of antituberculous drugs plus antifungals against Coccidioides posadasii. Int J Antimicrob Agents. 34(3):278-80.",
ethambutol,Fluconazole,19520551,http://www.ncbi.nlm.nih.gov/pubmed/ 19520551,"Cordeiro Rde A, Brilhante RS, Rocha MF, Medrano DJ, Monteiro AJ, Tavares JL, de Lima RA, de Camargo ZP, Sidrim JJ. (2009) In vitro synergistic effects of antituberculous drugs plus antifungals against Coccidioides posadasii. Int J Antimicrob Agents. 34(3):278-80.",
ethambutol,Itraconazole,19520551,http://www.ncbi.nlm.nih.gov/pubmed/ 19520551,"Cordeiro Rde A, Brilhante RS, Rocha MF, Medrano DJ, Monteiro AJ, Tavares JL, de Lima RA, de Camargo ZP, Sidrim JJ. (2009) In vitro synergistic effects of antituberculous drugs plus antifungals against Coccidioides posadasii. Int J Antimicrob Agents. 34(3):278-80.",
ethambutol,Ketoconazole,19520551,http://www.ncbi.nlm.nih.gov/pubmed/ 19520551,"Cordeiro Rde A, Brilhante RS, Rocha MF, Medrano DJ, Monteiro AJ, Tavares JL, de Lima RA, de Camargo ZP, Sidrim JJ. (2009) In vitro synergistic effects of antituberculous drugs plus antifungals against Coccidioides posadasii. Int J Antimicrob Agents. 34(3):278-80.",
ethambutol,Voriconazole,19520551,http://www.ncbi.nlm.nih.gov/pubmed/ 19520551,"Cordeiro Rde A, Brilhante RS, Rocha MF, Medrano DJ, Monteiro AJ, Tavares JL, de Lima RA, de Camargo ZP, Sidrim JJ. (2009) In vitro synergistic effects of antituberculous drugs plus antifungals against Coccidioides posadasii. Int J Antimicrob Agents. 34(3):278-80.",
Eugenol,Fluconazole,20634332,http://www.ncbi.nlm.nih.gov/pubmed/20634332,"Ahmad A., Khan A., Khan L.A., Manzoor N. (2010) In vitro synergy of eugenol and methyleugenol with fluconazole against clinical Candida isolates. Journal of Medical Microbiology 59:1178-1184. DOI: 10.1099/jmm.0.020693-0",
Fenpropimorph,Cyclosporine A,20029371,http://www.ncbi.nlm.nih.gov/pubmed/20029371,"Jansen G., Lee A.Y., Epp E., Fredette A., Surprenant J., Harcus D., Scott M., Tan E., Nishimura T., Whiteway M., Hallett M., Thomas D.Y. (2009) Chemogenomic profiling predicts antifungal synergies. Molecular Systems Biology 5. DOI: 10.1038/msb.2009.95.",
Fenpropimorph,FK506,12604527,http://www.ncbi.nlm.nih.gov/pubmed/12604527,"Onyewu C., Blankenship J.R., Del Poeta M., Heitman J. (2003) Ergosterol biosynthesis inhibitors become fungicidal when combined with calcineurin inhibitors against Candida albicans, Candida glabrata, and Candida krusei. Antimicrobial Agents and Chemotherapy 47:956-964. DOI: 10.1128/aac.47.3.956-964.2003.",
Fenpropimorph,Fluconazole,20029371,http://www.ncbi.nlm.nih.gov/pubmed/20029371,"Jansen G., Lee A.Y., Epp E., Fredette A., Surprenant J., Harcus D., Scott M., Tan E., Nishimura T., Whiteway M., Hallett M., Thomas D.Y. (2009) Chemogenomic profiling predicts antifungal synergies. Molecular Systems Biology 5. DOI: 10.1038/msb.2009.95.",
FK506,Amphotericin B,18070977,http://www.ncbi.nlm.nih.gov/pubmed/ 18070977,"Kontoyiannis DP, Lewis RE, Alexander BD, Lortholary O, Dromer F, Gupta KL, John GT, Del Busto R, Klintmalm GB, Somani J, Lyon GM, Pursell K, Stosor V, Munoz P, Limaye AP, Kalil AC, Pruett TL, Garcia-Diaz J, Humar A, Houston S, House AA, Wray D, Orloff S, Dowdy LA, Fisher RA, Heitman J, Albert ND, Wagener MM, Singh N. (2008) Calcineurin inhibitor agents interact synergistically with antifungal agents in vitro against Cryptococcus neoformans isolates: correlation with outcome in solid organ transplant recipients with cryptococcosis. Antimicrob Agents Chemother. 52(2):735-8.",
FK506,Bafilomycin A1,10681348,http://www.ncbi.nlm.nih.gov/pubmed/ 10681348,"Del Poeta M, Cruz MC, Cardenas ME, Perfect JR, Heitman J. (2000) Synergistic antifungal activities of bafilomycin A(1), fluconazole, and the pneumocandin MK-0991/caspofungin acetate (L-743,873) with calcineurin inhibitorsand L-685,818 against Cryptococcus neoformans. Antimicrob Agents Chemother. 44(3):739-46.",
FK506,Caspofungin,15105118,http://www.ncbi.nlm.nih.gov/pubmed/15105118,"Steinbach WJ, Schell WA, Blankenship JR, Onyewu C, Heitman J, Perfect JR. (2004) In vitro interactions between antifungals and immunosuppressants against Aspergillus fumigatus. Antimicrob Agents Chemother. 48(5):1664-9.",
FK506,Caspofungin acetate,10681348,http://www.ncbi.nlm.nih.gov/pubmed/ 10681348,"Del Poeta M, Cruz MC, Cardenas ME, Perfect JR, Heitman J. (2000) Synergistic antifungal activities of bafilomycin A(1), fluconazole, and the pneumocandin MK-0991/caspofungin acetate (L-743,873) with calcineurin inhibitorsand L-685,818 against Cryptococcus neoformans. Antimicrob Agents Chemother. 44(3):739-46.",
FK506,Fluconazole,18070977,http://www.ncbi.nlm.nih.gov/pubmed/ 18070977,"Kontoyiannis DP, Lewis RE, Alexander BD, Lortholary O, Dromer F, Gupta KL, John GT, Del Busto R, Klintmalm GB, Somani J, Lyon GM, Pursell K, Stosor V, Munoz P, Limaye AP, Kalil AC, Pruett TL, Garcia-Diaz J, Humar A, Houston S, House AA, Wray D, Orloff S, Dowdy LA, Fisher RA, Heitman J, Albert ND, Wagener MM, Singh N. (2008) Calcineurin inhibitor agents interact synergistically with antifungal agents in vitro against Cryptococcus neoformans isolates: correlation with outcome in solid organ transplant recipients with cryptococcosis. Antimicrob Agents Chemother. 52(2):735-8.",
FK506,Amphotericin B,19451295,http://www.ncbi.nlm.nih.gov/pubmed/19451295,"Dannaoui E., Schwarz P., Lortholary O. (2009) In Vitro Interactions between Antifungals and Immunosuppressive Drugs against Zygomycetes. Antimicrobial Agents and Chemotherapy 53:3549-3551. DOI: 10.1128/aac.00184-09",
FK506,Fenpropimorph,12604527,http://www.ncbi.nlm.nih.gov/pubmed/12604527,"Onyewu C., Blankenship J.R., Del Poeta M., Heitman J. (2003) Ergosterol biosynthesis inhibitors become fungicidal when combined with calcineurin inhibitors against Candida albicans, Candida glabrata, and Candida krusei. Antimicrobial Agents and Chemotherapy 47:956-964. DOI: 10.1128/aac.47.3.956-964.2003.",
FK506,Fluconazole,20029371,http://www.ncbi.nlm.nih.gov/pubmed/20029371,"Jansen G., Lee A.Y., Epp E., Fredette A., Surprenant J., Harcus D., Scott M., Tan E., Nishimura T., Whiteway M., Hallett M., Thomas D.Y. (2009) Chemogenomic profiling predicts antifungal synergies. Molecular Systems Biology 5. DOI: 10.1038/msb.2009.95.",
FK506,Itraconazole,18056277,http://www.ncbi.nlm.nih.gov/pubmed/18056277,"Sun S., Li Y., Guo Q.J., Shi C.W., Yu J.L., Ma L. (2008) In vitro interactions between tacrolimus and Azoles against Candida albicans determined by different methods. Antimicrobial Agents and Chemotherapy 52:409-417. DOI: 10.1128/aac.01070-07.",
FK506,Terbinafine,12604527,http://www.ncbi.nlm.nih.gov/pubmed/12604527,"Onyewu C., Blankenship J.R., Del Poeta M., Heitman J. (2003) Ergosterol biosynthesis inhibitors become fungicidal when combined with calcineurin inhibitors against Candida albicans, Candida glabrata, and Candida krusei. Antimicrobial Agents and Chemotherapy 47:956-964. DOI: 10.1128/aac.47.3.956-964.2003.",
FK506,Tunicamycin,20029371,http://www.ncbi.nlm.nih.gov/pubmed/20029371,"Jansen G., Lee A.Y., Epp E., Fredette A., Surprenant J., Harcus D., Scott M., Tan E., Nishimura T., Whiteway M., Hallett M., Thomas D.Y. (2009) Chemogenomic profiling predicts antifungal synergies. Molecular Systems Biology 5. DOI: 10.1038/msb.2009.95.",
FK506,Voriconazole,18056277,http://www.ncbi.nlm.nih.gov/pubmed/18056277,"Sun S., Li Y., Guo Q.J., Shi C.W., Yu J.L., Ma L. (2008) In vitro interactions between tacrolimus and Azoles against Candida albicans determined by different methods. Antimicrobial Agents and Chemotherapy 52:409-417. DOI: 10.1128/aac.01070-07.",
